Group,tank,date,day,Live Shrimp,OD,NO2-Nitrite,NO3-Nitrate,NH3-Ammonia,pH,temperature,Salinity,Dead Shrimp,haemocytometer count,predation,anenome.weight,blue.green.algae (Y/N),Shrimp Pairs,Juvenile Shrimp (Y/N)
Monday,3,30-Jan,0,50,0,2,100,0.5,8.00,20.0,1.022,0,3,N,,,,
Monday,4,30-Jan,0,50,0,2,100,0.5,8.40,20.0,1.022,0,4,Y,,,,
Monday,21,30-Jan,0,50,0,5,250,0,7.98,20.0,1.032,0,,Y,,,,
Monday,13,30-Jan,0,50,0,5,250,0,8.00,22.0,1.030,0,,N,,,,
Monday,23,30-Jan,0,50,0,3,100,0,7.20,20.0,1.030,0,,N,,,,
Monday,14,30-Jan,0,50,0,2,250,0,8.15,22.0,1.030,0,,Y,,,,
Monday,24,30-Jan,0,50,0,0.5,150,0,8.12,21.0,1.030,0,,Y,,,,
Monday,27,30-Jan,0,50,0,0.5,100,0,8.03,20.9,1.030,0,,Y,,,,
Monday,28,30-Jan,0,50,0,0.5,100,0,8.05,21.3,1.030,0,,N,,,,
Monday,16,30-Jan,0,50,0.012,0.5,250,0,8.01,20.5,1.028,0,,N,,,,
Monday,12,30-Jan,0,50,0,2,250,0,8.42,22.0,1.028,0,,Y,,,,
Monday,25,30-Jan,0,50,0,0.5,250,0,7.60,21.0,1.028,0,,Y,,,,
Monday,15,30-Jan,0,50,0,0.5,250,0,8.04,21.0,1.028,0,,Y,,,,
Monday,22,30-Jan,0,50,0,0.5,100,0,8.11,20.0,1.028,0,,Y,,,,
Monday,6,30-Jan,0,50,0,2,100,0,8.14,20.5,1.027,0,,N,,,,
Monday,5,30-Jan,0,50,0,0.5,250,0,8.14,20.5,1.027,0,,Y,,,,
Monday,9,30-Jan,0,50,0,0.25,250,0,8.40,22.0,1.027,0,,Y,,,,
Monday,26,30-Jan,0,50,0,0.5,250,0,8.00,22.0,1.026,0,,N,,,,
Monday,10,30-Jan,0,50,,0.5,250,0,8.00,22.0,1.026,0,,N,,,,
Monday,20,30-Jan,0,50,0.4,0.5,250,0,8.14,21.0,1.025,0,,N,,,,
Monday,17,30-Jan,0,50,0,0.5,100,0,7.80,22.0,1.020,0,,Y,,,,
Monday,18,30-Jan,0,50,0,0.5,100,0,8.00,21.5,1.020,0,,N,,,,
Monday,19,30-Jan,0,50,0.2,0.5,250,0,8.15,20.0,1.008,0,,Y,,,,
Monday,7,30-Jan,0,50,0.014,2,100,0,8.43,20.5,,0,,Y,,,,
Monday,8,30-Jan,0,50,0.014,0.5,100,0,8.47,20.0,,0,,N,,,,
Monday,11,30-Jan,0,50,0,2,250,,8.16,21.0,1.028,0,,Y,,,,
Monday,1,30-Jan,0,50,0,0.5,250,,7.86,21.0,1.028,0,,N,,,,Y
Monday,2,30-Jan,0,50,0,0.5,250,,8.25,22.0,1.027,0,,Y,,,,Y
Monday,29,30-Jan,0,50,0.005,0,150,,7.96,21.0,1.025,0,,N,,,,
Monday,30,30-Jan,0,50,0.016,0,150,,7.89,20.0,1.024,0,,Y,,,,
Tuesday,14,31-Jan,1,39,0.004,0.5,100,0.5,7.83,20.7,1.027,1,,Y,,,,
Tuesday,4,31-Jan,1,50,0.007,0.5,100,0.5,7.70,20.1,1.040,0,,Y,,,,
Tuesday,27,31-Jan,1,46,0,2,100,0.5,7.91,20.5,1.027,0,,Y,,,,
Tuesday,15,31-Jan,1,43,0,0.5,250,0,7.79,20.0,1.030,7,,Y,,,,
Tuesday,12,31-Jan,1,46,0.003,0.2,100,0,8.39,20.4,1.026,4,,Y,,,,
Tuesday,13,31-Jan,1,39,0.005,2,250,0,8.00,21.0,1.028,3,0.5,N,,,,
Tuesday,26,31-Jan,1,40,0,0.5,250,0,8.12,19.8,1.028,3,,N,,,,
Tuesday,23,31-Jan,1,37,0,3,100,0,7.67,20.9,1.027,3,,N,,,,
Tuesday,6,31-Jan,1,45,0,0.5,100,0,7.50,20.8,1.025,3,,N,,,,
Tuesday,9,31-Jan,1,40,0,0.5,100,0,8.23,21.0,1.024,3,,Y,,,,
Tuesday,10,31-Jan,1,45,0,0.5,100,0,8.40,21.5,1.028,1,,N,,,,
Tuesday,29,31-Jan,1,45,0.007,0.5,100,0,8.14,21.0,1.027,1,,N,,,,
Tuesday,1,31-Jan,1,44,0.006,0.5,250,0,8.09,21.0,1.027,1,,N,,,,
Tuesday,11,31-Jan,1,44,0.059,2,100,0,8.11,21.0,1.030,0,,Y,,,,
Tuesday,24,31-Jan,1,50,0,0.5,100,0,7.66,20.9,1.030,0,,Y,,,,
Tuesday,25,31-Jan,1,45,0,0.5,100,0,7.90,21.0,1.030,0,,Y,,,,
Tuesday,7,31-Jan,1,43,0.003,2,100,0,8.05,21.0,1.027,0,,Y,,,,
Tuesday,2,31-Jan,1,36,0.001,0.5,250,0,8.00,22.0,1.027,0,,Y,,,,
Tuesday,8,31-Jan,1,44,0,0.5,50,0,8.29,21.0,1.027,0,,N,,,,
Tuesday,17,31-Jan,1,48,,2,250,0,7.94,21.0,1.026,0,,Y,,,,
Tuesday,18,31-Jan,1,46,,0.5,250,0,8.04,20.0,1.026,0,,N,,,,
Tuesday,30,31-Jan,1,42,0.005,0.5,150,0,8.00,20.0,1.025,0,,Y,,,,
Tuesday,19,31-Jan,1,46,0.012,0.5,100,0,7.70,21.5,1.013,0,,Y,,,,
Tuesday,20,31-Jan,1,44,0.009,0.5,250,0,7.71,21.0,1.028,,,N,,,,
